,country,corruption,humanFreedom,gdppc,happiness,healthcareRank,safeness,averageTemperature,continent,worldCorruptionRank,worldFreedomRank,worldGDPRank,worldHappinessRank,worldSafenessRank,worldTemperatureRank,continentCorruptionRank,continentFreedomRank,continentGDPRank,continentHappinessRank,continentHealthcareRank,continentSafenessRank,continentTemperatureRank
91,Lesotho,38.0,7.01,2718.0,3.51,127.0,2.09,11.85,Africa,103.0,100.0,158.0,162.0,101.0,127.0,16.0,11.0,31.0,44.0,22.0,20.0,52.0
92,Liberia,29.0,6.81,1557.0,4.62,138.0,1.97,25.3,Africa,141.0,113.0,177.0,136.0,75.0,48.0,31.0,17.0,45.0,25.0,31.0,13.0,22.0
93,Libya,17.0,5.05,5893.0,5.41,146.0,2.93,21.8,Africa,178.0,169.0,127.0,88.0,153.0,91.0,51.0,47.0,14.0,3.0,38.0,45.0,40.0
94,Lithuania,61.0,8.68,38824.0,6.25,33.0,1.72,6.2,Europe,35.0,20.0,41.0,46.0,38.0,163.0,17.0,14.0,23.0,22.0,23.0,28.0,31.0
95,Luxembourg,81.0,8.8,118001.0,7.32,9.0,,8.65,Europe,9.0,10.0,1.0,8.0,,147.0,7.0,7.0,1.0,8.0,8.0,,22.0
96,Macau,45.0,5.57,56078.0,5.34,,2.01,,Asia,71.0,163.0,14.0,94.0,90.0,,19.0,40.0,6.0,25.0,,22.0,
97,Madagascar,26.0,7.02,1599.0,4.21,133.0,2.0,22.65,Africa,152.0,98.0,176.0,150.0,84.0,82.0,36.0,10.0,44.0,35.0,28.0,16.0,33.0
98,Malawi,35.0,6.99,993.0,3.6,129.0,1.9,21.9,Africa,116.0,101.0,181.0,161.0,68.0,89.0,19.0,12.0,49.0,43.0,24.0,8.0,39.0
99,Malaysia,48.0,7.17,27402.0,5.38,39.0,1.47,25.4,Asia,66.0,92.0,55.0,90.0,17.0,43.0,17.0,13.0,17.0,22.0,7.0,3.0,13.0
100,Maldives,40.0,6.1,19609.0,5.2,,,27.65,Asia,91.0,139.0,69.0,100.0,,5.0,24.0,29.0,19.0,28.0,,,1.0
101,Mali,29.0,6.25,2401.0,4.72,145.0,2.91,28.25,Africa,142.0,134.0,164.0,132.0,152.0,2.0,32.0,30.0,35.0,21.0,37.0,44.0,2.0
102,Malta,54.0,8.45,42856.0,6.6,25.0,,19.2,Europe,53.0,29.0,29.0,26.0,,106.0,25.0,22.0,16.0,16.0,17.0,,1.0
103,Mauritania,28.0,5.73,5834.0,4.23,151.0,2.19,27.65,Africa,144.0,155.0,128.0,149.0,113.0,6.0,33.0,38.0,15.0,34.0,43.0,27.0,5.0
104,Mauritius,54.0,8.07,20292.0,6.05,43.0,1.57,22.4,Africa,54.0,47.0,65.0,59.0,28.0,84.0,3.0,1.0,2.0,2.0,1.0,1.0,35.0
105,Mexico,31.0,6.92,19130.0,6.32,67.0,2.61,21.0,North America,129.0,103.0,71.0,42.0,139.0,99.0,17.0,21.0,8.0,6.0,7.0,15.0,20.0
106,Moldova,36.0,7.68,12811.0,5.77,78.0,1.88,9.45,Europe,111.0,68.0,96.0,75.0,63.0,142.0,37.0,36.0,41.0,33.0,38.0,34.0,17.0
107,Mongolia,35.0,8.0,11825.0,5.68,83.0,1.77,-0.7,Asia,117.0,48.0,104.0,80.0,43.0,176.0,30.0,7.0,30.0,18.0,24.0,8.0,46.0
108,Montenegro,46.0,7.88,20567.0,5.58,49.0,1.8,10.55,Europe,69.0,57.0,64.0,82.0,50.0,136.0,30.0,32.0,34.0,35.0,31.0,30.0,12.0
109,Morocco,39.0,5.9,7620.0,4.92,94.0,1.97,17.1,Africa,95.0,145.0,122.0,120.0,76.0,115.0,14.0,34.0,12.0,15.0,6.0,14.0,51.0
110,Mozambique,26.0,6.8,1277.0,4.79,139.0,2.32,23.8,Africa,153.0,115.0,178.0,129.0,123.0,74.0,37.0,19.0,46.0,19.0,32.0,32.0,30.0
111,Myanmar,28.0,5.78,5242.0,4.43,124.0,2.63,13.05,Asia,145.0,152.0,134.0,141.0,141.0,123.0,36.0,35.0,40.0,41.0,38.0,39.0,30.0
112,Namibia,49.0,7.56,9396.0,4.57,86.0,1.91,19.95,Africa,64.0,75.0,115.0,140.0,70.0,102.0,5.0,5.0,10.0,28.0,5.0,9.0,46.0
113,Nepal,33.0,7.12,4061.0,5.27,111.0,1.95,8.1,Asia,123.0,94.0,145.0,99.0,72.0,153.0,32.0,14.0,44.0,27.0,33.0,18.0,37.0
114,Netherlands,82.0,8.78,57534.0,7.46,6.0,1.52,9.25,Europe,8.0,11.0,13.0,5.0,21.0,144.0,6.0,8.0,7.0,5.0,6.0,15.0,19.0
115,New Zealand,88.0,9.01,42018.0,7.28,7.0,1.27,10.55,Oceania,3.0,2.0,31.0,9.0,2.0,137.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0
116,Nicaragua,20.0,6.24,5575.0,5.97,108.0,2.33,24.9,North America,172.0,135.0,130.0,64.0,125.0,58.0,23.0,22.0,21.0,11.0,14.0,12.0,12.0
117,Niger,31.0,6.41,1259.0,5.07,150.0,2.65,27.15,Africa,130.0,128.0,179.0,108.0,142.0,11.0,26.0,26.0,47.0,10.0,42.0,39.0,9.0
118,Nigeria,24.0,6.28,5187.0,4.76,141.0,2.73,26.8,Africa,161.0,133.0,135.0,130.0,146.0,21.0,40.0,29.0,18.0,20.0,34.0,41.0,14.0
119,North Korea,16.0,4.0,1700.0,,,2.94,5.7,Asia,180.0,181.0,174.0,,154.0,166.0,48.0,48.0,50.0,,,43.0,43.0
120,North Macedonia,39.0,7.75,16712.0,5.1,58.0,1.7,,Europe,96.0,63.0,78.0,106.0,37.0,,35.0,34.0,37.0,40.0,33.0,27.0,
121,Norway,85.0,8.76,65800.0,7.39,2.0,1.47,1.5,Europe,4.0,13.0,6.0,6.0,18.0,175.0,3.0,10.0,4.0,6.0,2.0,13.0,39.0
122,Oman,52.0,5.92,30178.0,6.58,65.0,1.89,25.6,Asia,59.0,144.0,51.0,27.0,65.0,39.0,13.0,31.0,16.0,4.0,18.0,17.0,12.0
123,Pakistan,28.0,5.63,5150.0,4.93,135.0,2.79,20.2,Asia,146.0,157.0,137.0,119.0,148.0,101.0,37.0,38.0,41.0,35.0,40.0,41.0,23.0
124,Palestine,59.0,7.66,40547.0,7.16,,2.55,,Asia,40.0,70.0,36.0,14.0,135.0,,10.0,10.0,14.0,2.0,,35.0,
125,Panama,36.0,8.12,27003.0,6.18,48.0,1.88,25.4,North America,112.0,45.0,56.0,50.0,64.0,44.0,15.0,6.0,5.0,9.0,4.0,3.0,7.0
126,Papua New Guinea,31.0,7.17,3833.0,5.13,126.0,2.05,25.25,Oceania,131.0,93.0,146.0,103.0,95.0,49.0,6.0,6.0,4.0,5.0,3.0,3.0,2.0
127,Paraguay,30.0,7.54,12881.0,5.65,77.0,1.98,23.55,South America,138.0,76.0,95.0,81.0,78.0,77.0,11.0,5.0,8.0,10.0,7.0,4.0,6.0
128,Peru,36.0,7.93,11871.0,5.84,60.0,2.09,19.6,South America,113.0,52.0,103.0,72.0,102.0,104.0,9.0,3.0,9.0,7.0,3.0,7.0,9.0
129,Philippines,33.0,6.83,8452.0,5.88,81.0,2.34,25.85,Asia,124.0,111.0,117.0,71.0,127.0,34.0,33.0,19.0,35.0,15.0,22.0,33.0,11.0
130,Poland,56.0,7.96,34103.0,6.17,35.0,1.55,7.85,Europe,45.0,50.0,42.0,53.0,25.0,154.0,22.0,31.0,24.0,25.0,25.0,18.0,26.0
131,Portugal,62.0,8.69,34043.0,5.93,27.0,1.3,15.15,Europe,33.0,19.0,43.0,68.0,6.0,118.0,16.0,13.0,25.0,30.0,19.0,5.0,4.0
132,Puerto Rico,67.0,8.73,34025.0,6.95,,2.44,,North America,28.0,17.0,44.0,21.0,130.0,,2.0,2.0,3.0,3.0,,13.0,
133,Qatar,63.0,6.15,93508.0,6.37,44.0,1.53,27.15,Asia,32.0,138.0,4.0,39.0,23.0,12.0,7.0,28.0,2.0,9.0,9.0,5.0,3.0
134,Rep. of the Congo,21.0,5.55,4188.0,5.34,149.0,2.18,24.55,Africa,168.0,164.0,143.0,95.0,112.0,66.0,44.0,44.0,22.0,5.0,41.0,26.0,28.0
135,Romania,45.0,8.33,30526.0,6.14,46.0,1.64,8.8,Europe,72.0,37.0,49.0,55.0,32.0,146.0,31.0,26.0,29.0,26.0,29.0,22.0,21.0
136,Russia,29.0,6.23,27903.0,5.48,74.0,3.27,-5.1,Europe,143.0,136.0,53.0,86.0,162.0,177.0,41.0,41.0,31.0,37.0,36.0,39.0,40.0
137,Rwanda,53.0,6.36,2337.0,3.42,101.0,1.95,17.85,Africa,57.0,130.0,167.0,166.0,73.0,110.0,4.0,27.0,37.0,47.0,9.0,11.0,49.0
138,Saint Lucia,56.0,7.87,12944.0,,,,25.5,North America,46.0,58.0,94.0,,,42.0,9.0,11.0,13.0,,,,6.0
139,Saint Vincent and the Grenadines,59.0,7.82,12770.0,,,,26.8,North America,41.0,61.0,98.0,,,22.0,7.0,12.0,14.0,,,,1.0
140,San Marino,56.0,8.49,58427.0,6.48,,1.64,11.85,Europe,47.0,28.0,12.0,33.0,33.0,128.0,23.0,21.0,6.0,19.0,,23.0,7.0
141,Sao Tome and Principe,45.0,7.78,4274.0,,,,23.75,Africa,73.0,62.0,142.0,,,75.0,6.0,4.0,21.0,,,,31.0
142,Saudi Arabia,53.0,5.12,46811.0,6.49,70.0,2.29,24.65,Asia,58.0,168.0,25.0,30.0,120.0,62.0,12.0,42.0,9.0,7.0,19.0,32.0,17.0
143,Senegal,43.0,7.07,3478.0,5.13,107.0,1.92,27.85,Africa,81.0,97.0,149.0,104.0,71.0,4.0,10.0,9.0,25.0,8.0,11.0,10.0,4.0
144,Serbia,38.0,7.54,19146.0,6.08,51.0,1.83,10.55,Europe,104.0,77.0,70.0,57.0,53.0,138.0,36.0,37.0,36.0,27.0,32.0,31.0,13.0
145,Seychelles,70.0,7.84,25414.0,6.43,50.0,,27.15,Africa,23.0,60.0,58.0,36.0,,13.0,1.0,3.0,1.0,1.0,2.0,,10.0
146,Sierra Leone,34.0,6.7,1725.0,3.85,142.0,1.8,26.05,Africa,120.0,120.0,173.0,154.0,51.0,29.0,20.0,21.0,42.0,39.0,35.0,5.0,18.0
147,Singapore,85.0,7.98,97057.0,6.38,15.0,1.33,26.45,Asia,5.0,49.0,2.0,38.0,9.0,26.0,1.0,8.0,1.0,8.0,1.0,1.0,8.0
148,Slovakia,52.0,8.21,32709.0,6.33,34.0,1.5,6.8,Europe,60.0,40.0,46.0,41.0,20.0,160.0,27.0,27.0,27.0,21.0,24.0,14.0,29.0
149,Slovenia,57.0,8.37,40067.0,6.46,26.0,1.32,8.9,Europe,43.0,34.0,38.0,34.0,8.0,145.0,20.0,24.0,20.0,20.0,18.0,7.0,20.0
150,Solomon Islands,43.0,7.53,2455.0,5.02,,,25.65,Oceania,82.0,78.0,163.0,115.0,,38.0,5.0,4.0,6.0,6.0,,,1.0
151,Somalia,13.0,4.93,925.0,4.67,159.0,3.12,27.05,Africa,183.0,172.0,183.0,134.0,158.0,15.0,52.0,49.0,51.0,23.0,48.0,48.0,12.0
152,South Africa,44.0,7.3,12032.0,4.96,85.0,2.28,17.75,Africa,76.0,87.0,102.0,117.0,119.0,111.0,7.0,8.0,7.0,14.0,4.0,29.0,50.0
153,South Korea,62.0,8.39,44621.0,5.84,28.0,1.78,11.5,Asia,34.0,33.0,27.0,73.0,44.0,129.0,8.0,4.0,10.0,16.0,5.0,9.0,34.0
154,South Sudan,11.0,3.8,791.0,2.82,163.0,3.18,,Africa,185.0,184.0,184.0,168.0,161.0,,53.0,53.0,52.0,49.0,51.0,50.0,
155,Spain,61.0,8.56,39121.0,6.49,24.0,1.6,13.3,Europe,36.0,26.0,39.0,31.0,29.0,122.0,18.0,19.0,21.0,17.0,16.0,20.0,6.0
156,Sri Lanka,37.0,6.58,13214.0,4.33,82.0,2.02,26.95,Asia,108.0,122.0,91.0,144.0,91.0,17.0,29.0,22.0,26.0,43.0,23.0,23.0,5.0
157,Sudan,20.0,4.48,4098.0,4.14,,3.01,26.9,Africa,173.0,175.0,144.0,151.0,156.0,18.0,47.0,51.0,23.0,36.0,,46.0,13.0
158,Suriname,39.0,7.64,14513.0,6.27,79.0,,25.7,South America,97.0,72.0,85.0,44.0,,37.0,5.0,4.0,6.0,3.0,8.0,,2.0
159,Sweden,85.0,8.83,54146.0,7.36,4.0,1.56,2.1,Europe,6.0,9.0,18.0,7.0,27.0,170.0,4.0,6.0,10.0,7.0,4.0,19.0,36.0
160,Switzerland,84.0,9.11,72874.0,7.57,3.0,1.36,5.5,Europe,7.0,1.0,5.0,3.0,11.0,168.0,5.0,1.0,3.0,3.0,3.0,8.0,34.0
161,Syria,13.0,3.66,2900.0,3.46,155.0,3.36,17.75,Asia,184.0,185.0,156.0,165.0,163.0,112.0,50.0,50.0,47.0,46.0,41.0,45.0,26.0
162,Taiwan,68.0,8.68,55724.0,6.58,20.0,1.62,,Asia,26.0,21.0,15.0,28.0,30.0,,6.0,2.0,7.0,5.0,4.0,6.0,
163,Tajikistan,25.0,5.52,3676.0,5.47,109.0,2.03,2.0,Asia,158.0,165.0,147.0,87.0,94.0,171.0,42.0,41.0,45.0,20.0,32.0,25.0,44.0
164,Tanzania,39.0,6.48,2821.0,3.62,114.0,2.0,22.35,Africa,98.0,124.0,157.0,160.0,85.0,86.0,15.0,24.0,30.0,42.0,14.0,17.0,36.0
165,Thailand,35.0,6.89,18236.0,5.99,63.0,2.1,26.3,Asia,118.0,106.0,74.0,63.0,104.0,28.0,31.0,17.0,20.0,13.0,17.0,30.0,9.0
166,Timor-Leste,41.0,7.22,3382.0,,,1.84,25.25,Asia,88.0,89.0,151.0,,56.0,50.0,22.0,11.0,46.0,,,13.0,15.0
167,Togo,30.0,6.5,2199.0,4.11,137.0,2.09,27.15,Africa,139.0,123.0,170.0,152.0,103.0,14.0,29.0,23.0,40.0,37.0,30.0,21.0,11.0
168,Trinidad and Tobago,41.0,7.7,25031.0,6.19,59.0,2.0,25.75,North America,89.0,66.0,59.0,49.0,86.0,35.0,14.0,14.0,6.0,8.0,5.0,6.0,5.0
169,Tunisia,44.0,6.46,10120.0,4.6,96.0,2.0,19.2,Africa,77.0,127.0,112.0,138.0,87.0,107.0,8.0,25.0,9.0,27.0,7.0,18.0,48.0
170,Turkey,38.0,5.79,30253.0,4.95,92.0,2.79,11.1,Asia,105.0,151.0,50.0,118.0,149.0,132.0,27.0,34.0,15.0,34.0,27.0,42.0,36.0
171,Turkmenistan,19.0,3.9,16520.0,5.07,106.0,2.12,15.1,Asia,176.0,183.0,79.0,109.0,106.0,119.0,46.0,49.0,22.0,30.0,31.0,31.0,29.0
172,U.A.E,69.0,6.06,58753.0,6.56,41.0,1.86,27.0,Asia,24.0,142.0,11.0,29.0,61.0,16.0,4.0,30.0,5.0,6.0,8.0,15.0,4.0
173,U.S.A,67.0,8.73,63416.0,6.95,18.0,2.44,8.55,North America,29.0,18.0,7.0,22.0,131.0,148.0,3.0,3.0,1.0,4.0,2.0,14.0,21.0
174,Uganda,27.0,6.32,2574.0,4.64,130.0,2.31,22.8,Africa,150.0,132.0,162.0,135.0,122.0,81.0,35.0,28.0,34.0,24.0,25.0,31.0,32.0
175,Ukraine,32.0,6.86,13110.0,4.88,90.0,2.97,8.3,Europe,127.0,109.0,92.0,124.0,155.0,152.0,40.0,39.0,40.0,41.0,39.0,38.0,25.0
176,United Kingdom,78.0,8.75,44117.0,7.06,13.0,1.67,8.45,Europe,11.0,14.0,28.0,19.0,36.0,151.0,9.0,11.0,15.0,12.0,12.0,26.0,24.0
177,Uruguay,73.0,8.36,22459.0,6.43,38.0,1.79,17.55,South America,21.0,35.0,62.0,37.0,46.0,113.0,1.0,2.0,2.0,1.0,2.0,1.0,10.0
178,Uzbekistan,28.0,4.23,7449.0,6.18,95.0,2.0,12.05,Asia,147.0,176.0,123.0,51.0,88.0,125.0,38.0,45.0,37.0,10.0,28.0,20.0,32.0
179,Vanuatu,45.0,7.69,2586.0,7.07,,,23.95,Oceania,74.0,67.0,161.0,18.0,,72.0,4.0,3.0,5.0,3.0,,,4.0
180,Venezuela,14.0,4.03,5178.0,4.89,143.0,2.8,25.35,South America,182.0,180.0,136.0,123.0,150.0,46.0,12.0,12.0,12.0,11.0,12.0,11.0,3.0
181,Vietnam,39.0,5.9,10869.0,5.41,72.0,1.79,24.45,Asia,99.0,146.0,110.0,89.0,47.0,69.0,25.0,32.0,32.0,21.0,20.0,10.0,18.0
182,Yemen,16.0,4.08,1927.0,3.66,161.0,3.39,23.85,Asia,181.0,179.0,171.0,158.0,164.0,73.0,49.0,47.0,49.0,45.0,43.0,46.0,19.0
183,Zambia,33.0,6.82,3342.0,4.07,120.0,1.84,21.4,Africa,125.0,112.0,152.0,153.0,57.0,98.0,23.0,16.0,27.0,38.0,18.0,6.0,44.0
184,Zimbabwe,23.0,5.6,2622.0,3.15,140.0,2.35,21.0,Africa,165.0,160.0,159.0,167.0,128.0,100.0,41.0,42.0,32.0,48.0,33.0,35.0,45.0
